latitude,longitude,zipcode,severity
37.32101837,-121.9084996,95126,2
37.34312708,-121.8801607,95112,1
37.25109282,-121.9448471,95124,1
37.32022353,-121.9000083,95125,1
37.31487586,-121.9059646,95126,2
37.31564868,-121.9173688,95128,3
37.31487586,-121.9059646,95126,2
37.34770328,-121.8377038,95116,1
37.37988376,-121.8785095,95131,1
37.30091719,-121.976722,95117,2
37.25031501,-121.852909,95123,3
37.36106086,-121.8872082,95112,2
37.3624859,-121.8651495,95133,3
37.33016919,-121.8574591,95122,1
37.32764336,-121.8518739,95122,3
37.24551854,-121.8919725,95118,3
37.26831965,-121.7963987,95111,2
37.31828927,-121.793876,95148,2
37.34303109,-121.8290332,95122,3
37.33519851,-121.9255483,95126,3
37.25397864,-121.903,95124,1
37.30448775,-121.9924656,95129,3
37.24626372,-121.8899956,95118,1
37.34049853,-121.8333629,95122,3
37.31862885,-121.8334708,95122,2
37.28315297,-121.9124807,95124,2
37.34787182,-121.8635229,95116,3
37.34708442,-121.8629366,95116,1
37.39112196,-121.9010668,95131,2
37.3196673,-121.9181006,95126,3
37.39250398,-121.8665932,95132,2
37.26227714,-121.813465,95124,3
37.22143368,-121.893091,95120,1
37.22320684,-121.8982865,95120,1
37.41366059,-121.8739486,95132,2
37.22320684,-121.8982865,95120,1
37.22580787,-121.9034705,95120,2
37.20242869,-121.7364039,95139,2
37.23125441,-121.9037238,95124,2
37.36409561,-121.8458879,95116,2
37.36409561,-121.8458879,95116,1
37.3647247,-121.8465262,95116,3
37.28124043,-121.9651911,95008,3
37.33769861,-121.9222358,95126,1
37.32269336,-121.8522349,95122,2
37.33406511,-121.8452629,95122,1
37.33406511,-121.8452629,95122,1
37.38259733,-121.8759266,95131,1
37.37924103,-121.8812371,95131,2
37.297753,-122.0149907,95129,2
37.32081175,-121.851439,95122,3
37.24858402,-121.7722103,95138,2
37.39112196,-121.9010668,95131,1
37.38929563,-121.863386,95132,2
37.38159415,-121.8306806,95127,2
37.25630705,-121.8218706,95123,2
37.25541403,-121.8983436,95124,3
37.26800778,-121.8499724,95136,3
37.32338301,-121.931949,95128,1
37.24733903,-121.9257704,95124,1
37.27692809,-121.8418967,95136,2
37.29512049,-121.8724806,95125,2
37.2788693,-121.9943155,95070,1
37.3483314,-121.8350834,95116,1
37.27079713,-121.7977821,95111,3
37.27331307,-121.798076,95111,3
37.27581948,-121.8027531,95111,2
37.30563279,-121.8760751,95133,1
37.29839409,-121.9640135,94306,1
37.35983163,-121.8937426,95112,3
37.31996861,-121.9057746,95126,3
37.31996861,-121.9057746,95126,1
37.32478805,-121.7927385,95148,2
37.31069683,-121.9232796,95128,2
37.22355411,-121.9054495,95124,3
37.37510975,-121.8356085,95133,2
37.33699678,-121.9435357,95128,2
37.27484132,-121.8996086,95125,1
37.32321844,-121.8708777,95112,1
37.32614286,-121.8730461,95112,2
37.28760574,-121.8276953,95111,2
37.3482924,-121.9217898,95150,1
37.38599241,-121.9277368,95134,3
37.33730682,-121.8269023,95122,3
37.34337348,-121.8316343,95122,1
37.36109555,-121.8380466,95116,2
37.3761346,-121.8791167,95131,1
37.36560382,-121.8434877,95116,3
37.36560382,-121.8434877,95116,2
37.33624544,-121.8314993,95122,2
37.35872192,-121.8153429,95127,1
37.34534158,-121.8754923,95122,1
37.30563279,-121.8760751,95123,1
37.30824905,-121.9720574,95117,2
37.18223758,-121.7616901,95141,1
37.34136,-121.8319701,95122,1
37.260264,-121.8101455,95136,2
37.3331016,-121.8753815,95112,2
37.32993412,-121.8200106,95122,3
37.27791855,-121.835128,95136,1
37.31385899,-121.8836983,95110,1
37.31680097,-121.8556871,95112,2
37.22943302,-121.8304935,95123,2
37.33352943,-121.8641471,95116,3
37.33318008,-121.8011405,95148,1
37.32018287,-121.959781,95117,1
37.35586526,-121.8599806,95116,2
37.314107,-121.8800444,95110,2
37.25931261,-121.8019657,95111,2
37.2615561,-121.8024445,95111,2
37.31454718,-121.9526462,95117,1
37.35173733,-121.8046966,95127,3
37.32961857,-121.8248593,95122,2
37.33805345,-121.8413046,95122,1
37.34401279,-121.8782923,95112,2
37.30317176,-121.7804391,95121,1
37.26419223,-121.8457099,95136,2
37.34163046,-121.88743,95112,3
37.35929194,-121.8125915,95127,1
37.24826881,-121.9373388,95124,3
37.33352943,-121.8641471,95127,1
37.25318905,-121.9130937,95124,3
37.35954263,-121.8873458,95112,2
37.35910023,-121.888272,95112,2
37.29768987,-121.9766741,95130,1
37.31396582,-121.791524,95121,1
37.27331307,-121.798076,95111,2
37.2714999,-121.7978696,95111,1
37.34651506,-121.9243528,95126,2
37.34111665,-121.8294464,95122,2
37.33377175,-121.772534,95148,2
37.33377175,-121.772534,95148,2
37.36456304,-121.8621233,95133,3
37.3624859,-121.8651495,95133,1
37.31362236,-121.8312475,95121,1
37.34734348,-121.8111323,95127,3
37.25897682,-121.8418739,95123,2
37.32359104,-121.8282988,95122,2
37.21981709,-121.8476176,95120,2
37.3240649,-121.8275627,95122,2
37.3388262,-121.9207409,95126,2
37.30153937,-121.8642648,95125,3
37.37872185,-121.9110752,95131,2
37.2793935,-121.9116717,95125,3
37.35599021,-121.8382391,95116,3
37.2903312,-121.8164932,95121,3
37.41366059,-121.8739486,95132,2
37.27505402,-121.8856226,95118,3
37.27088394,-121.8014284,95111,2
37.27810766,-121.8326982,95111,2
37.28284395,-121.8288068,95111,2
37.30647904,-121.819197,95121,3
37.26147041,-121.8856282,95118,2
37.34719122,-121.8858765,95112,2
37.34775651,-121.8637716,95116,2
37.30832738,-121.9687732,95117,3
37.35114794,-121.8071151,95127,2
37.31829305,-121.8585909,95112,2
37.31971325,-121.7882751,95148,1
37.34908019,-121.9002226,95110,1
37.29565919,-121.9766462,95130,2
37.3456289,-121.8165536,95148,1
37.30061081,-121.936797,95128,2
37.33178649,-121.839983,95122,1
37.43133673,-121.9687559,95002,1
37.29638729,-121.8499348,95111,2
37.25457454,-121.866229,95123,3
37.29862564,-121.8216735,95121,3
37.26084813,-121.8064852,95113,1
37.34127565,-121.7929843,95148,1
37.32158098,-121.9171665,95126,2
37.27873597,-121.8199255,95111,3
37.24312333,-121.8449615,95123,1
37.352049,-121.8817501,95112,1
37.32081175,-121.851439,95122,3
37.34010815,-121.829616,95122,1
37.34067095,-121.8301585,95122,1
37.34119003,-121.8351644,95122,3
37.34405643,-121.8385454,95116,2
37.34543438,-121.8398035,95116,2
37.26570306,-121.8122593,95111,3
37.32617735,-121.9047957,95126,2
37.33036917,-121.928716,95126,2
37.25462872,-121.7952482,95138,1
37.36409561,-121.8458879,95116,2
37.36055942,-121.8943433,95112,2
37.31438474,-121.9689061,95117,1
37.35425605,-121.8219312,95127,3
37.34517,-121.8900687,95112,2
37.29002801,-121.81305,95121,2
37.26746986,-121.8219521,95136,2
37.3526092,-121.8367457,95116,3
37.41455576,-121.8795851,95132,2
37.31861034,-121.9168431,95129,3
37.32347885,-121.9154956,95126,1
37.27883934,-121.8270022,95111,2
37.3155003,-121.9898123,95129,3
37.31727004,-121.9227074,95128,1
37.31727004,-121.9227074,95128,2
37.32377335,-121.9049915,95126,2
37.36520545,-121.8718485,95133,2
37.3649581,-121.8615402,95133,1
37.3624859,-121.8651495,95133,2
37.29982967,-121.9831202,95129,1
37.25024926,-121.7705864,95148,1
37.34734479,-121.8795102,95112,1
37.35643292,-121.8020669,95127,3
37.22143368,-121.893091,95120,1
37.22580787,-121.9034705,95120,1
37.23125441,-121.9037238,95124,1
37.26661003,-121.9253921,95124,3
37.32828686,-121.8317562,95122,1
37.33441763,-121.8297179,95122,1
37.30733003,-121.9722776,95117,1
37.3141348,-121.910923,95126,1
37.3141348,-121.910923,95126,1
37.32170393,-121.8173266,95122,2
37.24475281,-121.7634249,95116,2
37.31069107,-121.926617,95128,1
37.34119003,-121.8351644,95122,1
37.37859187,-121.8464899,95133,2
37.29342064,-121.8332141,95111,3
37.25774984,-121.9094918,95124,2
37.31262781,-121.8185172,95121,3
37.26150669,-121.9060874,95124,2
37.36055942,-121.8943433,95112,3
37.36180136,-121.8826998,95112,2
37.32069846,-121.8150524,95122,2
