latitude,longitude,zipcode,severity
37.35147449,-121.8890682,95112,3
37.23717568,-121.7176836,95138,2
37.29787058,-121.9565684,95129,1
37.22164561,-121.8622679,95120,1
37.33204407,-121.8262137,95122,2
37.32946479,-121.8417749,95122,2
37.34293075,-121.8323551,95122,1
37.26646085,-121.9314647,95124,3
37.29148105,-121.8184312,95121,2
37.34934228,-121.8492062,95121,3
37.24665604,-121.9457149,95124,2
37.38899784,-121.8375031,95127,2
37.3545013,-121.8429097,95116,1
37.37778673,-121.8805702,95131,2
37.38259733,-121.8759266,95131,2
37.29148105,-121.8184312,95121,3
37.35054744,-121.8092986,95127,1
37.31966759,-121.9204899,95126,2
37.33730682,-121.8269023,95122,2
37.24585358,-121.7860951,95123,1
37.37980017,-121.8494476,95133,1
37.38376747,-121.8748054,95131,1
37.25015287,-121.9212466,95124,1
37.34911463,-121.8757767,95112,2
37.31505466,-121.878619,95110,1
37.25799019,-121.8268179,95123,2
37.30968188,-121.7870526,95121,3
37.34248854,-121.8330637,95122,2
37.34958517,-121.8204241,95129,1
37.31236218,-121.9649184,95117,1
37.28778516,-121.8264274,95111,1
37.28778516,-121.8264274,95111,1
37.29699832,-121.8299687,95111,1
37.23685186,-121.8338351,95123,1
37.33897621,-121.8604629,95127,2
37.334106,-121.8612912,95116,2
37.33352943,-121.8641471,95126,2
37.33352943,-121.8641471,95121,3
37.33304714,-121.8796128,95112,2
37.26564362,-121.865998,95136,1
37.32381888,-121.8237524,95122,3
37.29002801,-121.81305,95121,2
37.35079201,-121.8782913,95112,2
37.28536618,-121.8138808,95111,2
37.2805049,-121.9669697,95008,2
37.29655127,-121.9118919,95120,1
37.40659403,-121.8501458,95132,2
37.35247185,-121.8042977,95127,3
37.33941113,-121.8687032,95116,1
37.26599477,-121.8410295,95136,1
37.25830878,-121.9217955,95124,2
37.3145636,-121.8231161,95121,3
37.24753731,-121.7888988,95123,1
37.32910052,-121.8795645,95011,1
37.35094968,-121.8503758,95116,2
37.35542754,-121.8040279,95127,3
37.35863608,-121.8096885,95127,1
37.34985558,-121.8650794,95116,2
37.22654321,-121.9039175,95120,1
37.27724278,-121.9323135,95008,1
37.27021665,-121.9319079,95124,1
37.35009096,-121.8296233,94544,2
37.34868809,-121.8618118,95116,3
37.32195551,-121.8513264,95116,1
37.33887769,-121.879692,95112,3
37.31828927,-121.793876,95148,1
37.29362288,-121.8260497,95111,1
37.29064619,-121.8216983,95111,2
37.33410611,-121.7835638,95148,3
37.30726497,-121.9698267,95124,3
37.30726497,-121.9698267,95117,2
37.32875804,-121.8966023,95110,2
37.26740251,-121.9066494,94404,2
37.34322037,-121.8584379,95116,3
37.3196673,-121.9181006,95126,3
37.31966189,-121.9185504,95128,3
37.31866508,-121.9154979,95126,2
37.28677298,-121.8187121,95111,2
37.30856945,-121.9659385,95117,2
37.25857958,-121.8156299,95123,3
37.32803639,-121.9089054,95128,3
37.31469109,-121.89566,95125,1
37.34775651,-121.8637716,95117,3
37.34868809,-121.8618118,95116,2
37.33283899,-121.8676618,95112,3
37.25418727,-121.8937576,95118,1
37.29638729,-121.8499348,95111,1
37.36180136,-121.8826998,95112,3
