latitude,longitude,zipcode,severity,Comments,SubCategory,Item
37.32101837,-121.9084996,95126,1,employee at pipeline will p/u,GAR - Garbage,Garbage
37.34312708,-121.8801607,95112,2,P/U MATTRESS,FUR - Furniture,Furniture
37.25109282,-121.9448471,95124,1,"P/U CHUNKS OF AC, CREA CLEAR",OTH - Other,Other
37.32022353,-121.9000083,95125,2,nothing at location upon arrival,FUR - Furniture,Furniture
37.31487586,-121.9059646,95126,2,p/u 2 sofas & cushions,FUR - Furniture,Furniture
37.31564868,-121.9173688,95128,2,"P/U TIRES AND MISC. ITEMS, AREA CLEAR",TIR - Tires,Tires
37.31487586,-121.9059646,95126,1,p/u 2 bags garb - crate full of garb - debris,GAR - Garbage,Garbage
37.34770328,-121.8377038,95116,2,p/u auto tires - wood - garb  - debris,FUR - Furniture,Furniture
37.37988376,-121.8785095,95131,2,"p/u 2 matt, 1 box, dresser, drawers, toilet, garb",FUR - Furniture,Furniture
37.30091719,-121.976722,95117,2,p/u 2 mattresses,FUR - Furniture,Furniture
37.25031501,-121.852909,95123,2,"p/u 3 matt - headboard - dresser - garbage wood, dumped @ sy",FUR - Furniture,Furniture
37.36106086,-121.8872082,95112,2,couldnt locate,FUR - Furniture,Furniture
37.34956853,-121.8554994,20011,2,P/U MATTRESS,FUR - Furniture,Furniture
37.3624859,-121.8651495,95133,2,p/u 3 mattresses,FUR - Furniture,Furniture
37.33016919,-121.8574591,95122,1,p/u carboard in road,OTH - Other,Other
37.32764336,-121.8518739,95122,2,P/U mattress,FUR - Furniture,Furniture
37.24551854,-121.8919725,95118,2,p/u sofa,FUR - Furniture,Furniture
37.26831965,-121.7963987,95111,2,pu matt & misc debris,FUR - Furniture,Furniture
37.31828927,-121.793876,95148,2,"P/U COUCH, EXCESSIVE LITTER, NO CLOTHES FOUND",FUR - Furniture,Furniture
37.34303109,-121.8290332,95122,2,p/u mattress & dumped @ sy,FUR - Furniture,Furniture
37.33519851,-121.9255483,95126,1,P/U CAR ACCIDENT DEBRIS,OTH - Other,Other
