latitude,longitude,zipcode,severity
37.38187204,-121.835547,95127,3
37.28937561,-121.8332854,95111,3
37.37399369,-121.8587279,95133,1
37.33011937,-121.8731599,95112,1
37.33061977,-121.8721095,95112,2
37.35411448,-121.889612,95112,2
37.35197446,-121.888018,95112,1
37.35197446,-121.888018,95112,2
37.33360023,-121.8743296,95112,3
37.33360023,-121.8743296,95112,3
37.3331016,-121.8753815,95112,3
37.3331016,-121.8753815,95112,3
37.33161023,-121.8742732,95112,1
37.39348166,-121.8341455,95132,3
37.34356984,-121.8792265,95112,3
37.25377914,-121.8031774,95123,3
37.33730548,-121.8856727,95112,3
37.35676081,-121.8252633,95127,1
37.33410676,-121.9351425,95126,2
37.29757938,-121.821763,95121,3
37.33730548,-121.8856727,95112,2
37.32211824,-121.8845866,95110,2
37.18223758,-121.7616901,95141,3
37.24993904,-121.9045766,95118,1
37.34848696,-121.8073782,95127,2
37.34651296,-121.8408429,95116,2
37.2663272,-121.805857,95111,3
37.35147449,-121.8890682,95112,2
37.32528757,-121.8494318,95122,3
37.31626284,-121.9193716,95128,2
37.34138621,-121.8622627,95116,2
37.34680937,-121.8452269,95116,3
37.25643565,-121.8092778,95123,1
37.26512515,-121.803066,95111,3
37.31969089,-121.873571,95112,3
37.24598781,-121.8074601,95123,3
37.34013318,-121.8806183,95112,1
37.34501383,-121.8803012,95112,2
37.34111619,-121.88851,95112,3
37.34293075,-121.8323551,95122,1
37.25382475,-121.9135458,95124,2
37.30202829,-121.7810676,95121,3
37.34966681,-121.8919956,95112,3
37.24598781,-121.8074601,95123,1
37.29369479,-121.8187901,95121,2
37.2663272,-121.805857,95111,1
37.29856852,-121.8351505,95111,2
37.32924809,-121.7941288,95148,3
37.2943668,-121.8190544,95121,3
37.36569938,-121.8957157,95112,2
37.3386961,-121.8852476,95112,2
37.37189777,-121.8866577,95131,2
37.35130314,-121.8135645,95127,3
37.35465924,-121.8039825,95127,2
37.27331307,-121.798076,95111,3
37.26830054,-121.7965416,95111,3
37.34160344,-121.8739357,95112,1
37.29364434,-121.8449601,95111,2
37.29148105,-121.8184312,95121,1
37.33056716,-121.8096606,95148,1
37.34212784,-121.8863782,95112,1
37.33406511,-121.8452629,95122,2
37.32158098,-121.9171665,95126,1
37.33406511,-121.8452629,95122,1
37.31605467,-121.7786022,95135,1
37.35179804,-121.8237759,95127,3
37.22969062,-121.8370514,95123,3
37.35693676,-121.8468194,95116,2
37.37379053,-121.8730624,95133,3
37.30819062,-121.974956,95117,2
37.23770705,-121.9186259,95124,2
37.30892751,-121.8717071,95110,1
37.33624544,-121.8314993,95122,3
37.3091969,-121.970003,95117,2
37.3159274,-121.9182905,95128,3
37.34563038,-121.9007165,95110,2
37.34916886,-121.920531,95110,3
37.39296578,-121.8771332,95131,1
37.3620883,-121.9032061,95112,1
37.34783377,-121.8906286,95112,2
37.28906888,-121.8338917,95111,2
37.28694559,-121.8337824,95111,1
37.25602939,-121.8119141,95123,2
37.25644207,-121.8080107,95123,1
37.36433237,-121.8409961,95116,1
37.36609651,-121.8428071,95116,1
37.38139449,-121.8770829,95131,2
37.31260019,-121.8525728,95112,1
37.34833609,-121.8895726,95112,1
37.24596421,-121.8039438,95123,2
37.34366447,-121.8961461,95110,2
37.36850193,-121.8604487,95133,3
37.3649581,-121.8615402,95133,2
37.31733012,-121.8339856,95122,1
37.33352943,-121.8641471,95116,1
37.30881702,-121.9583891,95117,3
37.3338632,-121.8348496,95122,3
37.34719122,-121.8858765,95112,1
37.39144828,-121.8382532,95127,3
37.39468472,-121.8808563,95131,3
37.37120554,-121.8357907,95127,3
37.26918491,-121.8136488,95111,2
37.2588697,-121.8213937,95136,1
37.31734478,-121.7948381,95148,3
37.35487536,-121.9002284,95112,2
37.29453681,-121.8801707,95125,2
37.31756479,-121.9318536,95128,2
37.35906193,-121.8423418,95116,2
37.38813518,-121.8761168,95131,1
37.26715637,-121.9074813,95124,2
37.36758267,-121.8405838,95116,3
37.36433237,-121.8409961,95116,3
37.35991715,-121.8375692,95116,2
37.32377335,-121.9049915,95126,1
37.32564264,-121.8740988,95112,1
37.22302715,-121.8606532,95120,2
37.29645934,-121.8363216,95111,3
37.35173733,-121.8046966,95127,3
37.27265081,-121.8702845,95136,1
37.32866666,-121.7983007,95148,1
37.31666616,-121.9683254,95117,1
37.33967153,-121.8874352,95112,1
37.30958637,-121.9960584,95129,1
37.31606798,-121.9597885,95117,1
37.34783377,-121.8906286,95112,1
37.25856156,-121.8174917,95123,2
37.39007723,-121.8373152,95127,3
37.34176604,-121.840337,95122,1
37.23265097,-121.8104105,95119,2
37.36910774,-121.8485776,95133,1
37.39867358,-121.8219844,95132,2
37.35173733,-121.8046966,95127,3
37.28350249,-121.832867,95111,1
37.33668638,-121.8307951,95122,2
37.29092008,-121.8216558,95111,2
37.30892751,-121.8717071,95148,1
