latitude,longitude,zipcode,severity
37.37972308,-121.9002797,95131,2
37.31070169,-121.9194218,95128,1
37.359764,-121.837895,95116,1
37.30733003,-121.9722776,95117,3
37.29159376,-121.8289347,95111,2
37.34095175,-121.9035035,95110,1
37.20825284,-121.7287428,95037,2
37.25503575,-121.8013523,95111,3
37.31375377,-121.7569114,95135,2
37.24646931,-121.7816952,95138,1
37.27866213,-121.8181434,95111,1
37.35276961,-121.8412688,95116,1
37.25414496,-121.9124974,95124,2
37.29977127,-121.8026906,95121,2
37.27060305,-121.8603344,95136,3
37.34204764,-121.8730004,95112,1
37.34071823,-121.875802,95112,1
37.26746986,-121.8219521,95111,1
37.41420731,-121.8732797,95132,1
37.29950701,-121.7577846,95135,1
37.35482643,-121.8224526,95127,2
37.31511557,-121.8236569,95121,1
37.32128146,-121.8180491,95122,2
37.25300677,-121.8402424,95123,1
37.25300997,-121.8392023,95123,1
37.32824882,-121.8388024,95122,3
37.31375377,-121.7569114,95135,2
37.3344559,-121.8467212,95122,2
37.38105147,-121.831801,95127,2
37.32158098,-121.9171665,95126,2
37.25039205,-121.861257,95123,1
37.3495541,-121.8748503,95112,3
37.32085674,-121.8187752,95122,1
37.32170393,-121.8173266,95122,2
37.29512049,-121.8724806,95125,2
37.40993531,-121.8484815,95132,3
37.30977688,-121.8254037,95121,3
37.35983163,-121.8937426,95112,1
37.35946398,-121.8106429,95127,1
37.25643762,-121.8088116,95123,2
37.38497443,-121.8320182,95127,2
37.33592275,-121.8417182,95122,2
37.28436446,-121.8190252,95111,2
37.31423577,-121.8181425,95122,2
37.36411884,-121.8616831,95133,2
37.27883755,-121.8322017,95111,1
37.32004467,-121.9171552,95126,3
37.2558052,-121.8815238,95118,2
37.31626284,-121.9193716,95128,1
37.32030706,-121.9748234,95129,2
37.2742094,-121.9272119,95124,3
37.34507125,-121.8842987,95112,1
37.41200769,-121.8586958,95132,1
37.32308217,-121.796402,95148,1
37.27810766,-121.8326982,95111,2
37.35774833,-121.8655,95133,1
37.34209343,-121.8780864,95112,1
37.25898653,-121.840271,95136,1
37.32043278,-121.8195003,95122,1
37.40550359,-121.8777741,95132,2
37.35465484,-121.8910338,95112,3
37.33211514,-121.8732258,95112,3
37.33882538,-121.8558603,95116,2
37.25888734,-121.8138018,95123,2
37.42415636,-121.977226,95002,2
37.34971264,-121.8663115,95116,1
37.34719122,-121.8858765,95112,2
37.29109248,-121.8549303,95111,3
37.25800003,-121.8252343,95123,3
37.37648009,-121.86105,95133,2
37.35222998,-121.8375612,95116,2
37.38193219,-121.8765665,95131,3
37.27296342,-121.854602,95136,3
37.34342051,-121.8752888,95112,3
37.33594071,-121.8735058,95112,2
37.33259773,-121.8721977,95112,1
37.38801305,-121.898796,95131,1
37.31525824,-121.8257389,95121,1
37.27781416,-121.8717913,95125,2
37.37515297,-121.8479842,95133,3
37.3214259,-121.8917588,95125,1
37.34300808,-121.8276704,95122,2
37.31995104,-121.8917799,95125,3
37.30881702,-121.9583891,95117,1
37.25799098,-121.8260672,95123,3
37.33563031,-121.8653369,95116,3
37.34946927,-121.8361542,95116,2
37.30936573,-121.7997983,95121,3
37.30302812,-122.0295826,95129,2
37.26582088,-121.8633263,95136,3
37.24875099,-121.9131041,95124,1
37.29185745,-121.8551103,95111,1
37.2617424,-121.9314108,95124,2
37.26505243,-121.8058309,95111,2
37.33667059,-121.8895114,95113,1
37.26853214,-121.9216431,95124,1
37.25602939,-121.8119141,95123,2
37.31330382,-121.8171838,95122,2
37.31667288,-121.9692734,95117,3
37.33791418,-121.9340697,95126,1
37.34788891,-121.8116294,95127,3
37.28477314,-121.8141216,95111,3
37.28422228,-121.815597,95111,2
37.3769001,-121.8602877,95133,3
37.37093975,-121.8632509,95133,3
37.32030706,-121.9748234,95129,1
37.320302,-121.8289065,95121,3
37.37673684,-121.9416383,95110,2
37.2219943,-121.8765518,95120,3
37.24107283,-121.8172796,95123,2
37.3381833,-121.8863234,95113,2
37.3427597,-121.8705961,95116,2
37.37238494,-121.8416754,95127,2
37.3166801,-121.9697572,95117,2
37.34111619,-121.88851,95112,3
37.32066483,-121.7606427,95148,1
37.34084672,-121.8080501,95148,2
37.32873189,-121.7661012,95148,2
37.34454552,-121.7809148,95148,1
37.32813434,-121.8773794,95112,1
37.34160344,-121.8739357,95112,1
37.29148105,-121.8184312,95121,2
37.2943668,-121.8190544,95121,1
37.29879665,-121.8237852,95121,2
37.29846912,-121.9613375,95117,2
37.3406846,-121.8853009,95112,2
37.2524057,-121.8336815,95123,1
37.34669939,-121.7912717,95148,1
37.27568904,-121.8831907,95118,1
37.33358143,-121.9085391,95126,2
37.33748804,-121.8447553,95122,3
37.34654086,-121.927316,95126,2
37.2257833,-121.8669807,95120,3
37.29599103,-121.961923,95130,1
37.29427353,-121.8945722,95125,3
37.33969522,-121.8831446,95112,2
37.41358613,-121.8630082,95132,3
37.25503575,-121.8013523,95111,1
37.25465319,-121.8920341,95118,3
37.38602602,-121.8829355,95131,3
37.315287,-121.8178333,95122,2
37.26872815,-121.8480193,95136,1
37.37974624,-121.8402925,95133,2
37.31441181,-121.890005,95125,2
37.27823162,-121.9053976,95125,1
37.34628192,-121.8156187,95127,2
37.30603827,-121.8058429,95121,2
37.32641285,-121.8311123,95122,2
37.32203918,-121.8493935,95122,1
37.29455152,-121.8421595,95111,1
37.35966677,-121.9023294,95112,1
37.35690857,-121.8776389,95112,2
37.32469671,-121.8488549,95122,3
37.32587974,-121.8500194,95122,2
37.33160207,-121.8785384,95112,1
37.34268416,-121.8810962,95112,2
37.34328872,-121.8075144,95127,1
37.30279368,-121.925236,95126,3
37.30155221,-121.9266392,95126,1
37.36433237,-121.8409961,95116,1
37.35795266,-121.8319245,95127,1
37.32478137,-121.8223266,95122,1
37.31344664,-121.822062,95121,1
37.35197233,-121.8253432,95127,1
37.34366447,-121.8961461,95112,3
37.34489899,-121.8764261,95112,3
37.35361748,-121.8906612,95112,2
37.33941113,-121.8687032,95116,3
37.35197233,-121.8253432,95127,2
37.3164653,-121.96832,95117,1
37.35563623,-121.9036789,95112,1
37.32270574,-121.8802893,95110,2
37.3066679,-121.8062642,95121,3
37.30730413,-121.8066828,95121,2
37.36433237,-121.8409961,95116,2
37.31681448,-121.9662247,95117,2
37.32158098,-121.9171665,95126,1
37.31167984,-121.8379202,95121,1
37.29869891,-121.8337669,95111,1
37.31844095,-121.8953778,95125,3
37.36583915,-121.842542,95116,1
37.28238765,-121.8234756,95111,2
37.28681795,-121.8270094,95111,1
37.34176604,-121.840337,95122,1
37.3403645,-121.7975058,95148,1
37.31344664,-121.822062,95121,2
37.28178538,-121.8261943,95111,1
37.25870929,-121.9170105,95124,3
37.29264516,-121.8274326,95111,3
37.39356393,-121.8675708,95132,2
37.25640078,-121.8146079,95123,3
37.37735628,-121.9131353,95112,1
37.25313973,-121.8405866,95123,3
37.29706054,-121.8066314,95121,2
37.42352122,-121.966145,95002,1
37.2256234,-121.8078508,95123,2
37.18223758,-121.7616901,95141,3
37.32299213,-121.8831957,95110,1
37.34692599,-121.8499435,95116,2
37.40555233,-121.8768001,95132,1
37.33941113,-121.8687032,95116,2
37.28984291,-121.8876904,95125,1
37.34868809,-121.8618118,95116,3
37.32318468,-121.8751485,95112,3
37.26904851,-121.9873235,95008,1
37.34243155,-121.9131406,95110,3
37.38304486,-121.8754982,95131,2
37.25042072,-121.8688913,95123,3
37.31733012,-121.8339856,95122,1
37.31037359,-121.8005016,95121,2
37.26920244,-121.9204926,95124,1
37.32224353,-121.8963671,95125,1
37.27292389,-121.8011542,95111,3
37.38030541,-121.8363322,95127,3
37.30158708,-121.9206379,95126,2
37.30177824,-121.8223851,95121,3
37.34628192,-121.8156187,95127,1
37.21096899,-121.853478,95120,3
37.25898653,-121.840271,95136,2
37.22686439,-121.7768437,95119,2
37.31531522,-121.8846959,95110,1
37.248066,-121.8474425,95123,2
37.26583933,-121.8058294,95111,1
37.36109555,-121.8380466,95116,3
37.36109555,-121.8380466,95116,1
37.30990112,-121.8917511,95125,2
37.36194607,-121.8859766,95112,1
37.32857769,-121.7975398,95148,2
37.27296342,-121.854602,95136,2
37.36756225,-121.8047485,95127,2
